Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,4.7,7.621585521050487,9.655072930713176,
1372,3.9,8.754311326039506,11.112332328597374,
1373,3.7,8.872981667978552,10.914808636285185,
1374,4.2,9.186122256889698,11.319615742987159,
1375,3.4,8.35548282894504,10.308687670719566,
1376,2.9,8.208120330523856,9.702059730896936,
1377,2.7,8.13600090277326,9.441777881387752,9.506868089762518
1378,2.7,9.198535393395234,10.885411206707616,10.574171906249315
1379,3.0,6.663070663632598,7.196650439323915,6.775746479747019
1380,2.4,6.386831494672614,6.9558937417939495,7.0751451788609945
1381,2.6,6.615663644547962,6.975193428548934,6.940542872304718
1382,2.6,5.5785370208099145,5.954099596564288,5.589437565813765
1383,1.9,5.090251471515124,5.107413180334893,4.814488466334399
1384,2.0,5.510381316444944,5.563037456432279,5.292914657256474
1385,2.1,4.7949702528811375,4.780832912833882,4.32654586894631
1386,1.9,4.631879250539356,4.678987942183329,4.5689234520067386
1387,1.7,3.360661249307745,3.524683723757199,2.8715407496030663
1388,1.7,4.083661745851302,4.341450846677619,4.166807596479008
1389,1.6,3.6710743088263365,3.8549917676417427,3.660948075521602
1390,1.5,3.4775574534188087,3.614242579080799,3.480448090492526
1391,1.5,4.152109530935927,4.351906531392318,4.184188773045786
1392,1.5,3.2043436845658344,3.3308037845868723,3.3805953229569417
1393,1.4,2.797243060947261,2.8849989423764253,2.9775140826354467
1394,1.6,2.9542167726444664,3.0608129452176143,3.2534720472529424
1395,1.2,2.967234826012525,3.339111858466228,3.652831215321391
1396,1.3,2.827780379435986,3.0539087923195547,3.2375836453811186
1397,1.1,3.1280139416521164,3.3732324868299344,3.576224504042545
1398,1.1,2.7372368696406055,2.9588034368353813,3.0790163194891784
1399,1.1,2.301674138557352,2.510854833260481,2.708016559294883
1400,1.3,2.1295505359446647,2.273909295014668,2.3984587534153023
1401,1.1,1.8364160027015588,1.854711480258691,1.7342882791356353
1402,1.2,1.7904167960663695,1.802708422745508,1.7608194270773168
1403,,1.7853287765781953,1.8844116633231893,1.9785445054938613
