سال,کل,بتون آرمه,اسکلت فلزی,بلوک سیمانی,آجری با تیرچه بلوک,آجری با تیرآهن,آجری با تیر چوبی,خشت و گل و چوب و سایر
1381,100,3.4,10.5,4.6,3.7,63.4,7.6,6.8
1382,100,3.4,12.8,4.8,3.5,60.2,8.2,7.1
1383,100,8.8,17.2,4.4,5.2,54.1,5.8,4.5
1384,100,10.1,17.3,3.8,4.8,53.8,5.4,4.8
1385,100,10.1,18.1,4.3,4.8,53.2,5.8,3.7
1386,100,10.6,20.1,3.7,4.9,51.2,5.5,4
1387,100,9.6,22.4,4.4,5.4,49,5.2,4
1388,100,10.4,22.2,3.7,5,50.1,4.5,4.1
1389,100,9.9,23.6,3.7,5,48.6,4.9,4.3
1390,100,16.2,28.1,2.4,5.8,41.6,3.5,2.4
