سال,کل,شاغل,بیکار,با درآمد بدون کار,محصل,خانه دار,سایر
1381,100,29.7,4.3,5.8,31.2,24.1,4.9
1382,100,30,4.5,6.2,29.1,24.8,5.4
1383,100,31.1,4.3,5.9,28.5,24.8,5.4
1384,100,31.8,3.9,6.2,27.4,25.2,5.5
1385,100,31.4,3.8,6.8,27.6,25.2,5.2
1386,100,31.5,3.5,7.4,26.6,25.8,5.2
1387,100,31.3,3.7,8.1,26.3,25.5,5.1
1388,100,29.8,3.9,9.4,25.4,26.3,5.2
1389,100,30.5,4,9.7,24.3,26.5,5
1390,100,31.4,4,9.1,24,27.2,4.3
