سال,کل,شخصی (مالک نشین),اجاری,در برابر خدمت,رایگان
1381,100,72.7,17.9,1.8,7.6
1382,100,71.2,18.5,2,8.3
1383,100,68.3,22.9,1.2,7.6
1384,100,67.2,23.9,1.2,7.7
1385,100,67,24.5,1.3,7.2
1386,100,66,25,1.4,7.6
1387,100,65.3,24.7,1.2,8.8
1388,100,65.5,24.9,1.1,8.5
1389,100,64.7,25.7,1.2,8.4
1390,100,60.8,28.5,0.9,9.8
