سال,کل,یک اتاق,دو اتاق,سه اتاق,چهار اتاق,پنج اتاق,شش اتاق و بیشتر
1381,100,59,273,367,21,65,26
1382,100,63,284,368,203,56,26
1383,100,62,302,396,179,42,19
1384,100,53,293,408,182,44,2
1385,100,56,303,403,173,44,21
1386,100,57,305,408,171,4,19
1387,100,57,301,412,171,42,17
1388,100,5,31,429,157,37,17
1389,100,46,301,44,161,36,16
1390,100,49,319,452,138,27,15
