سال,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390
انواع برنج,182,180,180,175,168,174,146,154,159,147
انواع نان,574,551,506,485,486,458,445,425,395,356
گوشت دام,63,59,60,59,64,57,56,48,47,48
گوشت پرندگان,82,92,87,88,91,96,90,95,93,91
فرآورده های گوشت دام و پرندگان,-,-,-,-,-,6,5,5,4,4
انواع ماهی,18,18,20,20,19,20,16,16,17,15
حیوانات دریایی و فرآورده های آن,-,-,-,-,-,4,3,3,3,3
انواع شیر,171,194,211,216,215,206,215,232,234,166
انواع ماست,127,117,95,92,88,86,75,68,64,84
انواع پنیر,26,24,26,25,26,26,25,24,23,25
تخم مرغ,44,43,40,39,37,39,38,39,41,35
روغنهای نباتی,53,52,50,48,46,47,44,44,45,43
انواع قند,37,36,34,32,30,29,27,27,27,24
شکر,24,20,20,20,19,17,15,16,14,12
انواع چای,7,6,6,5,5,6,5,5,5,5
انواع سیگار ایرانی,685,722,663,626,578,521,504,547,518,490
انواع سیگار خارجی,722,662,688,772,717,800,749,702,629,611
