سال,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400
انواع برنج,131,119,120,116,106,106,97,94,98,100
انواع نان,347,350,343,328,311,298,299,297,301,307
گوشت دام,41,40,41,40,41,37,32,28,35,38
گوشت پرندگان,88,84,89,90,86,90,88,96,98,97
فرآورده های گوشت دام و پرندگان,3,3,3,2,2,2,1,2,2,3
انواع ماهی,13,13,12,11,11,12,9,7,9,9
حیوانات دریایی و فرآورده های آن,2,2,2,2,1,1,1,1,1,1
انواع شیر,134,138,134,131,120,126,128,121,123,113
انواع ماست,86,82,80,79,80,86,83,78,77,78
انواع پنیر,24,23,23,22,23,24,25,25,25,27
تخم مرغ,36,36,36,36,37,36,37,40,42,43
روغنهای نباتی,39,37,37,36,34,33,31,29,29,31
انواع قند,22,22,21,18,16,15,15,14,14,14
شکر,11,11,10,10,9,8,8,8,8,8
انواع چای,4,4,4,4,3,3,3,3,3,3
انواع سیگار ایرانی,474,423,364,342,383,365,309,291,347,391
انواع سیگار خارجی,546,521,555,526,529,538,481,527,446,472
