سال,کل,کمتر از 1 سال,1 تا 5 سال,6 تا 10 سال,11 تا 15 سال,16 تا 20 سال,21 تا 30 سال,31 تا 40 سال,41 تا 50 سال,51 تا 60 سال,61 تا 70 سال,71 سال و بیشتر
1391,100,0.6,6.6,6.5,6.8,8.1,22.2,15.6,13.3,10.2,5.6,4.5
1392,100,0.6,6.4,6.5,6.7,7.8,21.5,15.7,13.5,11,6,4.3
1393,100,0.6,6.4,6.3,6.8,7.6,20.2,16.2,13.7,11.1,6.6,4.5
1394,100,0.6,6.1,6.2,6.3,7.4,19.1,16.1,13.5,12.1,7.4,5.2
1395,100,0.6,6.7,6.5,6.2,6.7,18.1,17.5,13.4,11.7,7.5,5.1
1396,100,0.6,6.6,6.4,6.3,6.8,16.8,17.8,13.3,11.8,8.1,5.5
1397,100,0.5,6.3,6.3,6.2,6.5,15.9,17.5,13.4,12.3,9.1,6
1398,100,0.4,6.1,6.4,6.5,6.5,15.1,17.3,13.5,12.6,9.6,6
1399,100,0.3,5.5,6.3,6.5,6.6,14,17.5,13.6,13,10.1,6.6
1400,100,0.3,5.1,6.6,6.5,6.6,13.3,17,14.2,13,10.6,6.8
