سال,کل,بی سواد,خواندن و نوشتن,تحصیلات ابتدایی,تحصیلات راهنمایی و متوسطه,تحصیلات دانشگاهی
1391,100,114,14,211,451,21
1392,100,112,16,216,434,222
1393,100,112,15,214,434,225
1394,100,117,21,202,429,231
1395,100,108,21,206,427,238
1396,100,109,22,211,419,239
1397,100,112,24,209,422,233
1398,100,109,23,208,427,233
1399,100,108,25,205,421,241
1400,100,105,25,211,423,236
