سال,کل,بدون فرد شاغل,یک نفر شاغل,دو نفر شاغل,سه نفر شاغل و بیشتر
1391,100,23.3,57.5,15.8,3.4
1392,100,24,57,15.5,3.5
1393,100,23.7,58,15.2,3.1
1394,100,26.4,55.7,14.7,3.2
1395,100,26.6,56.4,14.2,2.8
1396,100,27.9,55.3,14,2.8
1397,100,29.1,54.4,13.5,3
1398,100,29.4,54.2,13.6,2.8
1399,100,31.8,52.5,13.1,2.6
1400,100,30.4,52.2,14.5,2.9
