سال,کل,کشاورزی، دامپروری، شکار، جنگلداری و ماهیگیری,صنعت و معدن,برق، گاز و آب,ساختمان,عمده فروشی، خرده فروشی، هتلداری و رستوران,حمل و نقل، انبارداری و ارتباطات,خدمات مالی، بیمه، ملکی، حقوقی و تجاری,خدماتعمومی، اجتماعی و شخصی
1391,100,3.7,16.9,1,15.4,22.6,11.4,7,22
1392,100,3.8,17.8,0.8,15.3,22.4,11.7,7.1,21.1
1393,100,3.9,17.4,0.9,14.7,22.4,11.8,8,20.9
1394,100,4.3,18.4,0.8,13.8,22.2,11.8,7,21.7
1395,100,3.9,18.2,0.9,13.4,22.8,12,7.5,21.3
1396,100,3.8,18.2,0.7,14.1,22.2,12.4,7.6,21
1397,100,4.3,17.4,0.6,13.8,22.9,12.6,7.8,20.6
1398,100,4.3,17.8,0.8,14.3,22.7,12.2,7.3,20.6
1399,100,4.6,18.1,0.6,14.8,23.1,11.6,7.5,19.7
1400,100,4.3,17.9,0.7,14.5,23.8,12.3,7.5,19
