سال,کل,بی سواد,خواندن و نوشتن,تحصیلات ابتدایی,تحصیلات راهنمایی و متوسطه,تحصیلات دانشگاهی
1394,100,11.7,2.1,20.2,42.9,23.1
1395,100,10.8,2.1,20.6,42.7,23.8
1396,100,10.9,2.2,21.1,41.9,23.9
1397,100,11.2,2.4,20.9,42.2,23.3
1398,100,10.9,2.3,20.8,42.7,23.3
1399,100,10.8,2.5,20.5,42.1,24.1
1400,100,10.5,2.5,21.1,42.3,23.6
1401,100,9.5,2.3,21,42.6,24.6
1402,100,9.2,2.2,21,43,24.6
1403,100,8.8,2.3,20.2,42.8,25.9
