گروه های هزینه,1402,1403
خوراکیها، آشامیدنیها و دخانیات,1030794984,1409910856
خوراکیها و آشامیدنیها,1017472408,1392761042
1- آرد، رشته و غلات,81596352,104738931
برنج، آرد و رشته,77236666,98348744
سایر غلات و فرآورده های آن,4359686,6390187
2- انواع نان و بیسکویت,38197271,52305742
انواع نان,20141585,26466762
بیسکویت ، کیک و کلوچه,18055686,25838980
3- انواع گوشت,264403946,337102597
گوشت دام,143266758,193579035
گوشت پرندگان,92239160,104587401
کله پاچه و سایر قطعات گوشت حیوانات و پرندگان,2147108,3516941
فرآورده های گوشت دام و پرندگان,6610788,8764172
انواع ماهی,14424695,21106699
حیوانات دریایی و فرآوردههای آن,5715437,5548349
4- شیر و فرآوردههای آن و تخم پرندگان,128898283,159340468
انواع شیر,24926956,29829247
فرآوردههای شیر,73507754,91854739
تخم پرندگان,30463573,37656482
5- روغنها و چربیها,38648573,48940591
انواع کره,11287097,19243050
روغنهای نباتی,25234665,26647313
روغنها و چربیهای حیوانی,2126811,3050228
6- میوههای تازه,170279887,242249105
میوههای درختی (بجز مرکبات),101079211,146692166
مرکبات,41358243,55321443
میوههای جالیزی,27842433,40235496
7- سبزیهای تازه,120892507,187617047
انواع سبزی های برگی,24800206,37265037
انواع سبزی های بوته ای و حبوبی تازه,63845788,95974059
انواع سبزی های ریشه ای و سایر و سبزیجات خشک و منجمد,32246513,54377951
8- خشکبار و آجیل,37227435,59167144
9- حبوب,23463504,40339487
10- انواع کنسرو، فرآوردههای سبزی و چیپس,16029728,23013071
11- قند و شکر,8601193,11502287
12- انواع شیرینی و مربا,33630481,49517753
13- انواع ادویه، سسها و سایر ترکیبات خوراکی,15756051,23567566
14- چای، قهوه و کاکایو,13614944,20098619
15- نوشابه، آبمیوه و شربت,26164553,33079213
16-خدمات آماده سازی اولیه مواد غذایی,67700,181421
دخانیات,13322576,17149814
