سال,کل,یک اتاق,دو اتاق,سه اتاق,چهار اتاق,پنج اتاق,شش اتاق و بیشتر
1394,100,2.9,30.2,47.3,14.9,3.1,1.6
1395,100,3.1,29.8,49.7,14,2.2,1.2
1396,100,2.7,29.6,50,14.2,2.2,1.3
1397,100,2.6,28.6,51.4,14,2.3,1.1
1398,100,2.3,28.3,52.1,13.9,2.3,1.1
1399,100,2.4,28.6,52,13.6,2.3,1.1
1400,100,2.4,28.3,51.9,13.8,2.3,1.3
1401,100,2.1,27.1,52.7,14.7,2.3,1.1
1402,100,1.6,26.2,54.2,14.5,2.3,1.2
1403,100,1.5,26.4,53.5,15,2.3,1.3
