سال,1402,1403
غیرخوراک,2374627765,3282816877
1- پوشاک و کفش,131928780,177680268
پوشاک,102915121,137729017
انواع کفش و تعمیرات آن,29013659,39951251
2- مسکن، آب، برق، گاز و سایر سوخت ها,1182233454,1611326997
اجارهبها و ارزش اجاری مسکن,1149220301,1564637573
تعمیرات و خدمات مسکن,6350527,9758545
آب و خدمات متفرقه مسکن,10748309,15776360
برق، گاز و سایر سوختها,15914317,21154519
3- لوازم، اثاث و خدمات مورد استفاده در خانه,133228978,172652001
مبلمان، اثاث، فرش و انواع کفپوش,33100608,41367631
منسوجات مورد استفاده در خانه,5723015,7492115
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,37801153,48276739
ظروف، لوازم آشپزخانه و سایر لوازم خانه,15829971,19080356
ابزار و وسایل برای خانه و باغچه,5284622,7119082
کالاها و لوازم مصرفی بیدوام و کمدوام خانه,35489609,49316078
4- بهداشت و درمان,166696382,234601577
دارو، لوازم و مواد طبی و درمانی,55546454,75296214
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,111149928,159305363
5- حمل و نقل,334208126,475976707
خرید وسایل نقلیه شخصی,192831731,279020622
تعمیرات و سوخت وسایل نقلیه شخصی,90330267,121128621
هزینههای رفت و آمد و حمل و نقل کالا,51046128,75827464
6- ارتباطات,51086257,66383200
7- تفریح و امور فرهنگی,42993821,67617048
8- تحصیل,28669117,42665586
9- رستوران و هتل,82860148,120434505
غذاها و خوراکیهای آماده و آشامیدنیها,80402974,117208459
هزینه هتل و مسافرخانه (بدون تور),2457174,3226046
10- کالاها و خدمات متفرقه,220722702,313478988
لوازم بهداشتی و آرایشی و خدمات شخصی,75313754,103389810
لوازم شخصی و زینتی و هزینههای متفرقه شخصی,34129587,47353252
خدمات اجتماعی,2455563,3839395
انواع بیمه,58260991,85226051
خدمات مالی,32438885,44438413
سایر کالاها و خدمات متفرقه,18123922,29232067
