Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,9.2,5.3289573301098185,8.500998456622305,
1372,8.2,5.634629275781128,9.053065740425092,
1373,8.6,6.003839300788794,9.276366099275942,
1374,8.9,5.619511296867658,8.931568726992877,
1375,8.2,6.47630214417452,10.314511411293365,
1376,9.7,6.511229254144922,9.646365650161238,
1377,9.2,6.569777638385005,9.849847518548003,12.21753611734598
1378,10.0,6.80374843419254,10.242329240518185,12.793263789424975
1379,9.1,6.424835382412635,9.560456670958562,11.963171682475805
1380,9.7,6.68832297536201,9.852113561468801,12.75664720080103
1381,9.9,6.277327250705612,9.487351664911555,12.051371565416504
1382,9.1,6.224719685451273,9.111990677018692,12.037607176748319
1383,11.0,4.231110599497441,6.161009073408719,8.140507368842252
1384,10.7,4.707908161759041,6.666738434273501,8.913827371249237
1385,10.3,4.686792112670996,6.609492897199089,8.714565361413428
1386,10.6,4.103609977721843,5.795046630451793,7.8510144853725725
1387,9.7,4.737355548372631,6.562957622213599,8.861430219371966
1388,10.4,4.292961314428795,5.814784832566506,8.102972914453982
1389,9.8,3.9045044861674647,5.221537494770245,7.250247138603378
1390,10.3,3.5679550564494753,4.85745392610563,6.849815757655331
1391,12.8,3.4620938796105762,4.611845140717824,6.390625911844535
1392,13.7,3.7985645980587974,5.160468384919701,7.263449525779888
1393,13.6,4.50959942180844,6.094783318661015,8.816070028350772
1394,13.4,3.921872021719435,5.279689622390688,7.582466689648194
1395,19.4,3.31228527603804,4.426335814714293,6.269707211959908
1396,19.3,4.069085045159191,5.357989175107908,7.733378013855347
1397,20.3,4.8895765295494344,6.425844903357299,9.431624189269803
1398,19.6,5.349665983837368,6.949447350704831,10.086544480605108
1399,21.3,5.740291709807841,7.463784271907329,11.008620153556341
1400,22.1,5.072325538235474,6.534029497439146,9.486919590393889
1401,24.0,5.161190242625023,6.618298685196588,9.94640255333844
1402,24.5,4.633145172350544,5.8710765387748785,8.464896963015505
1403,,4.084586823972496,5.122149447947631,7.296291446178833
