Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,33.8,19.021259709722973,30.631153093391525,
1372,41.5,22.20643542950067,35.72624513778469,
1373,48.8,26.38001773240391,41.89779734924771,
1374,54.0,28.918004236273884,45.8935648704794,
1375,59.0,30.992126122715423,49.56821446812741,
1376,58.2,33.69981682541844,51.168550239337755,
1377,61.0,37.022327083991954,56.46628426329171,64.11059689121433
1378,63.4,39.651330909545905,60.04563818453369,68.06606999471258
1379,67.8,42.583458758277494,64.15746106162592,72.34654815830444
1380,72.6,46.06951205662902,69.14499212403479,76.8836063629535
1381,76.3,49.406891623072454,73.41364274983371,80.6118651743595
1382,80.1,51.624243959385566,75.12436188760171,81.6001739220408
1383,81.7,56.74660222259412,80.151567087474,86.77967068645233
1384,85.6,63.38927333305624,83.98056502423113,89.5744874430921
1385,87.1,66.2705101450196,85.85765229431021,91.08207459109254
1386,88.5,68.9012665859753,87.70706388514755,91.72129656130552
1387,89.2,72.06732944008931,89.14572279429778,92.93518584532373
1388,90.4,74.80878944047203,89.95084327277907,93.51031676228463
1389,91.5,78.32232840953516,91.63800981415008,94.53361166185645
1390,93.2,79.11571201436149,91.94164273303046,94.5496544943469
1391,92.8,81.07243321478859,92.46653238288222,94.83828026570296
1392,92.9,81.4064837640469,92.57628161959916,95.3345929975051
1393,92.8,82.97747307407748,93.16765752164035,95.71169709880986
1394,93.8,84.27021783372321,93.54996714598234,96.08836864156795
1395,94.4,85.68679559903569,94.03266819605065,96.40562754617235
1396,94.5,86.94169563301615,94.0687696837071,96.30671372567836
1397,95.2,88.08254040465094,94.32243462784845,96.47258589615038
1398,95.1,89.24848424555377,94.5062081787612,96.68083555392421
1399,95.5,90.62354024105336,95.14190683003709,97.38386774591747
1400,95.6,91.53986043253641,95.43571579086436,97.80381805593511
1401,95.8,92.01778699378114,95.59399920890084,97.86194784951861
1402,96.7,92.58672867752172,95.91149259538714,98.27250914651451
1403,97.2,92.98905283738574,95.96130586691162,98.2661703548362
