Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,15.1,13.436715667097216,13.473171407522083,
1372,14.9,13.856515657882928,13.516552521049235,
1373,15.6,13.732102886065089,14.063801126662762,
1374,13.4,14.394355322367394,14.670968055375566,
1375,13.8,13.747678862357832,13.565839545414962,
1376,13.3,13.804430978753668,13.960806797219835,
1377,13.2,13.727115710770189,13.867348597662065,13.419526447329869
1378,12.1,13.529944215359402,13.082296467813437,12.74683818606116
1379,12.2,12.898238811674556,12.102591917941364,11.6951415326793
1380,12.8,12.492618976581277,11.504422157389628,10.958629917920625
1381,11.8,12.044646427529134,10.725944640108922,10.51505832738457
1382,11.6,11.912753541371558,11.202728870833992,10.524387467204475
1383,9.8,11.02318206907467,9.916990995191194,9.438899327820572
1384,9.3,10.720464205986028,9.637884989800535,8.97410823280003
1385,9.3,9.323196888209665,8.062686628316984,7.544289577105115
1386,8.4,8.684081239938966,7.275225099107982,6.858535565621571
1387,7.8,7.907770438919809,6.916646802692278,6.4926818902104415
1388,6.9,7.78798808195702,6.8754647093927295,6.379393903902342
1389,6.4,6.937515032963286,5.977555505852487,5.352410759318656
1390,4.8,6.608328261362123,5.697123909563224,5.0943864478850625
1391,4.3,6.277282930538098,5.51364801873714,4.999387643053503
1392,4.0,4.909738416225022,4.0322102899725625,3.635318361297331
1393,3.8,4.850954792238867,4.085134713398497,3.669248942422558
1394,3.7,4.443852457230274,3.6648853376427146,3.0783627450348066
1395,2.8,4.572482489067366,3.8101102792464183,3.389889724919891
1396,2.7,4.008850535567117,3.211567258544088,2.8246551351192384
1397,2.5,3.7333316484070735,3.1068949935975603,2.654237056874865
1398,2.7,3.712015392128823,3.0785102267236155,2.6356167620934268
1399,2.4,3.3669847352630615,2.6416978028582756,2.207359684413245
1400,2.6,3.3186851357032436,2.6341877424969797,2.2595299410404714
1401,2.4,3.085069597537172,2.5261510841533505,2.088424584476961
1402,2.8,2.9243538735742973,2.452139147080856,2.029028706452286
1403,2.4,2.843063009801638,2.383697820873836,1.921474023793757
