Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,18.6,15.782414015972087,18.23132863585788,
1372,17.9,15.661340497656525,18.607037968393854,
1373,18.1,16.37118600720331,18.44874292720011,
1374,18.8,16.44625217778547,19.094071482420784,
1375,17.9,17.375118517708017,19.836270631152743,
1376,19.2,18.047065790994115,20.20261750619015,
1377,22.3,18.97857487375181,21.3318425019683,22.171359021185967
1378,22.3,19.34882203321141,21.51339400711633,22.552192925891674
1379,21.1,19.733996801336257,22.20617616886604,23.20942365322515
1380,21.9,20.456385415094108,22.964748835847086,23.8960790482907
1381,24.5,20.801200377212268,23.276055126773905,23.92541981846201
1382,22.8,22.87005622733431,25.281267828141026,26.796669340465673
1383,26.1,23.077627578661193,25.377632351255198,25.876447497257566
1384,26.7,24.46998633083984,26.55272152166094,27.68144257410136
1385,27.1,25.089457944563588,26.933060770776734,27.303729099259932
1386,28.6,25.868724296563556,27.31642376487829,28.057408402293827
1387,28.4,26.58787773522636,28.004627300748545,28.450749432638112
1388,27.8,26.86931770166575,27.78061433547065,27.659312323288653
1389,28.8,27.434427495032455,28.347394172749507,28.892818756189715
1390,28.2,28.286572540895712,29.374815597871745,29.595114766370628
1391,28.8,28.34401834369994,29.29529162594512,29.64909360746399
1392,29.8,28.548303516445433,29.24091650903141,28.78017139310633
1393,30.1,28.370704051412993,29.15834127832706,29.002683249271566
1394,29.0,29.29902549222478,30.36453990084232,30.428371179879356
1395,29.4,29.406633845124734,30.369529923919924,30.373688707937923
1396,28.9,30.03156228779974,31.38827791778922,31.881229266412642
1397,28.1,29.302314158793013,30.190104893883934,30.302238948049805
1398,28.3,28.875409197172647,29.804205211334793,29.72958296640829
1399,27.8,29.14543493501342,29.775752712842923,29.767829515125822
1400,27.2,28.431729027024964,28.912561871327096,28.580548903827324
1401,28.7,28.11261917527787,28.865453967437656,29.035667114800965
1402,28.2,27.122906997292677,27.9335898852241,27.677579730197817
1403,,27.57524915440268,28.564362761283885,28.22711817444521
