Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,6.4,7.804610259853106,5.824078971960687,
1372,5.6,7.792477716958128,6.39928028405161,
1373,6.1,7.709991763979687,6.196278597024526,
1374,5.1,7.3630107942116965,5.713611572684759,
1375,5.3,6.979486917821573,5.473206908732937,
1376,4.7,6.450326261828124,5.194524285343967,
1377,4.5,6.188595428810423,4.9927866771030915,4.839958083681818
1378,4.3,5.829761527876723,4.341790747680277,3.8181931834186527
1379,4.5,4.985982170340569,3.6707466720827053,3.4022114444121017
1380,3.7,5.2139646411988885,3.7556393902207135,3.215786012713885
1381,3.5,4.388013914675369,3.0584014457830646,2.4813386863708313
1382,3.2,4.051601832319881,2.748701255589963,2.1217485513996133
1383,2.5,3.5235111805149257,2.4022391434436674,2.021876487941985
1384,2.2,2.6266657152681043,1.8182866902096861,1.5152168313838026
1385,2.2,2.8359669890744414,1.9673338931934796,1.7320677115275396
1386,1.6,2.285210436655512,1.5334411705455704,1.373843812907871
1387,1.6,1.8412985203612147,1.3057093016078867,1.0415153798155734
1388,1.3,1.591117371551402,1.138046036808507,1.0064138605481774
1389,1.0,1.3852832431077993,0.955327614566152,0.7855467236714908
1390,0.6,1.340633118824527,0.988606319345116,0.8255803445665058
1391,0.5,1.1606089915147928,0.871758944673095,0.7455920845965113
1392,0.4,0.7792885906682234,0.5626711577043813,0.4175381848078675
1393,0.6,0.7051197591300306,0.45528323765792206,0.34163304817494405
1394,0.4,0.6621371454207295,0.4791842527136543,0.34612665811069043
1395,0.3,0.5938750345319646,0.4242899190677656,0.37615390750491945
1396,0.2,0.6323356639936707,0.49194143080788855,0.44205855960264256
1397,0.3,0.5878207012742572,0.4325041533800277,0.3944099280338127
1398,0.2,0.49189617951676146,0.3840655557403407,0.3196084408058152
1399,0.3,0.45489327059243445,0.3721970906629577,0.35557335815309704
1400,0.3,0.4028079524938062,0.30570598640294955,0.27254542374542046
1401,0.3,0.37380400655231705,0.2858495499716907,0.20158710788054174
1402,0.3,0.33400232411333053,0.232919948180953,0.2029071933570741
1403,0.4,0.3459410052076256,0.23570449216977,0.2516107619371333
