سال,کل,بدون فرد شاغل,یک نفر شاغل,دو نفر شاغل,سه نفر شاغل و بیشتر
1393,100,237,58,152,31
1394,100,264,557,147,32
1395,100,266,564,142,28
1396,100,279,553,14,28
1397,100,291,544,135,3
1398,100,294,542,136,28
1399,100,318,525,131,26
1400,100,304,522,145,29
1401,100,275,528,164,33
1402,100,255,537,168,4
