سال,1389,1390
غیرخوراک,105929704,130100866
1- پوشاک و کفش,6931457,7963384
پوشاک,5529563,6322371
انواع کفش و تعمیرات آن,1401894,1641013
2- مسکن، آب، برق، گاز و سایر سوخت ها,42636843,53291594
اجارهبها و ارزش اجاری مسکن,40266235,48223140
تعمیرات و خدمات مسکن,380361,430339
آب و خدمات متفرقه مسکن,600232,1192373
برق، گاز و سایر سوختها,1390015,3445742
3- لوازم، اثاث و خدمات مورد استفاده در خانه,7382442,8304318
مبلمان، اثاث، فرش و انواع کفپوش,2476251,2794481
منسوجات مورد استفاده در خانه,726394,781268
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,1925209,2016070
ظروف، لوازم آشپزخانه و سایر لوازم خانه,920655,1189798
ابزار و وسایل برای خانه و باغچه,226769,248339
کالاها و لوازم مصرفی بی دوام و کم دوام خانه,1107164,1274362
4- بهداشت و درمان,7866298,9299884
دارو، لوازم و مواد طبی و درمانی,1990004,2478381
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,5876294,6821501
5- حمل و نقل,16013976,20309854
خرید وسایل نقلیه شخصی,9649032,10612317
تعمیرات و سوخت وسایل نقلیه شخصی,3430497,5698631
هزینه های رفت و آمد و حمل و نقل کالا,2934447,3998906
6- ارتباطات,3203340,3941486
7- تفریح و امور فرهنگی,3951663,4691431
8- تحصیل,3474714,3652661
9- رستوران و هتل,3142771,3973288
غذاها و خوراکیهای آماده و آشامیدنیها,3023353,3807428
هزینه هتل و مسافرخانه (بدون تور),119418,165860
10- کالاها و خدمات متفرقه,11326200,14672966
لوازم بهداشتی و آرایشی و خدمات شخصی,2508031,3157860
لوازم شخصی و زینتی و هزینه های متفرقه شخصی,2089881,2558665
خدمات اجتماعی,109287,104873
انواع بیمه,2664226,3312294
خدمات مالی,2169093,2983131
سایر کالاها و خدمات متفرقه,1785682,2556143
