اقلام خوراکیها، آشامیدنی ها و دخانیات,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
انواع برنج,205,201,177,168,176,186,166,179,183,179
انواع نان,709,701,714,702,691,654,631,640,626,610
گوشت دام,95,85,86,76,77,78,72,70,69,67
گوشت پرندگان,60,71,64,65,71,70,68,67,70,80
گوشت حیوانات دریایی,16,14,12,12,13,12,13,14,15,16
انواع شیر,147,143,138,140,135,141,136,148,157,153
انواع ماست,143,138,143,130,127,121,113,116,117,119
انواع پنیر,24,23,24,23,24,22,23,25,25,26
تخم مرغ,41,45,46,46,46,41,42,42,45,45
روغن های نباتی,51,54,49,50,50,50,51,50,53,55
انواع قند,54,54,50,49,48,41,42,37,38,40
شکر,30,31,28,26,25,22,22,23,23,24
انواع چای,8,8,7,7,7,7,6,6,6,6
انواع سیگار ایرانی,982,823,733,681,629,607,739,829,865,667
انواع سیگار خارجی,702,859,861,815,856,818,650,549,578,785
