گروه های هزینه,1379,1380
غیر خوراک,21204805,24970721
1- پوشاک و کفش,2165698,2407093
پوشاک وتعمیرات آن,1699119,1906378
انواع کفش و تعمیرات آن,466579,500715
2- مسکن ، آب ، برق و سوخت,7855376,9377318
اجاره بهای منزل مسکونی∗,6993551,8393312
هزینه های مربوط به خدمات منزل مسکونی,125871,146980
هزینه های تعمیرات منزل مسکونی,156780,173340
آب ، برق و سوخت منزل مسکونی,579174,663686
3- لوازم ، اثاث و خدمات مورد استفاده در خانه,1940629,2201868
مبلمان ، اثاث ، فرش ، کفپوش و تعمیرات آن ها,451425,519367
لوازم پارچه ای منزل و غیره,261503,318927
وسایل حرارتی و پخت و پز،یخچال وسایر وسایل عمده,461965,520535
ظروف،لوازم آشپزخانه و سایروسایل منزل و تعمیرات آن ها,393817,421973
ظروف ، لوازم مصرفی بی دوام و کم دوام منزل,332075,360890
خدمات خانگی,39844,60176
4- درمان و بهداشت,1299932,1698061
هزینه های بهداشتی و درمانی,1127067,1476882
هزینه های بیمه های اجتماعی و درمانی,172865,221179
5- حمل و نقل و ارتباطات,4217310,4803184
خرید وسایل نقلیه شخصی وهزینه های مربوط به آن,2451700,2633728
هزینه تعمیرات، نگهداری وسوخت وسایل نقلیه,664329,760251
هزینه های مسافرت و رفت و آمد شهری,798949,929323
ارتباطات,302332,479882
6- تفریح ، سرگرمی ، تحصیل و خدمات فرهنگی,1118864,1410224
تفریح و سرگرمی,544640,683346
تحصیل و خدمات فرهنگی,574224,726878
7- کالاها و خدمات متفرقه,2606996,3072973
لوازم و خدمات بهداشتی و آرایشی شخصی,483357,562810
لوازم التحریر,84165,89221
لوازم شخصی و زینتی,423006,462546
هزینه های هتل،مسافرخانه ومسافرت دسته جمعی,175208,242653
خدمات مالی و حقوقی,126722,118049
هزینه های مذهبی,303402,370959
هزینه های مالیات و حق بازنشستگی,728528,859791
سایر هزینه های متفرقه,282608,366944
