گروه های هزینه,1371,1372,1373,1374,1375,1376,1377,1378,1379,1380
جمع کل هزینه خالص,4931544,5997307,7583175,10198426,12790649,16064944,19182416,23348636,27885667,32584514
1- خوراکی ها، آشامیدنی ها ودخانیات,1793737,2147058,2764713,3965613,4660444,5306871,6444447,7696251,9048315,10067005
خوراکی ها وآشامیدنی ها,1735588,2087289,2678530,3849484,4528662,5168650,6287515,7508710,8856352,9851794
دخانیات,58149,59769,86183,116129,131782,138221,156932,187541,191963,215211
2- پوشاک و کفش,503148,552770,684784,1036545,1290567,1565149,1598676,1891108,2160096,2407084
3- مسکن،آب،برق وسوخت,1469608,1777622,2152433,2759104,3724625,4534299,5623710,6727263,7855376,9377318
4- لوازم،اثاث وخدمات مورد استفاده درخانه,318062,398762,500868,620387,795894,1124258,1257111,1518718,1879975,2155854
5- درمان و بهداشت,203286,321261,405610,454146,562047,744750,903387,1156669,1299932,1698061
6- حمل و نقل و ارتباطات,313222,363666,527749,661583,826420,1391951,1722391,2352835,2900619,3485362
حمل و نقل,284560,323506,463508,572792,708798,1256016,1546525,2112108,2598288,3022049
ارتباطات,28662,40160,64241,88791,117622,135935,175866,240727,302331,463313
7- تفریح،سرگرمی،تحصیل وخدمات فرهنگی,114315,157361,196615,243021,342297,544591,651906,790615,1083606,1369843
تفریح و سرگرمی,71736,82161,86148,92050,125307,248704,288712,343650,509386,642965
تحصیل وخدمات فرهنگی,42579,75200,110467,150971,216990,295887,363194,446965,574220,726878
8- کالاها و خدمات متفرقه,216166,278807,350403,458027,588355,853075,980788,1215177,1657748,2023987
