Year,CBI,SCI_All,SCI_Urban,SCI_CBI_Sample
1371,,80.25834692675573,94.26954301713143,
1372,,81.15114393779656,95.49329835760297,
1373,,85.24803847192725,95.45587153916736,
1374,,86.15629602202053,95.79708742516424,
1375,,86.75889531103333,95.84309889320988,
1376,,89.42613361756007,96.59176659679734,
1377,,90.53967476090145,97.0070038714677,97.2703429661541
1378,,91.6493576143963,97.12908397580763,97.51282151740003
1379,,92.75148732086275,97.16625431448473,97.65373969746005
1380,,93.63785643172783,97.06366679091354,97.33087247809532
1381,,94.78628338540246,97.69958924500156,97.90621886797742
1382,,95.89473416858404,98.38882412489308,98.51071848572361
1383,,96.56369630693081,98.64167952562438,98.7834636553242
1384,,97.40763920024817,98.93441539987234,99.01420129863743
1385,,97.86389362659101,98.9442911581566,99.04597537601047
1386,,98.26082916436816,99.09618123354237,99.09656272760603
1387,,98.55308320490465,99.3185501559543,99.30043588108177
1388,,98.84347137859845,99.31434455730525,99.25588021740067
1389,,98.9541725248145,99.29871109711296,99.30291689002514
1390,,98.97944922558692,99.36501877740243,99.33587533809143
1391,99.7,99.33712764560676,99.64191030037395,99.6901496656716
1392,99.7,99.12538534110791,99.35179522409246,99.31638442924371
1393,99.7,99.37206485165323,99.54008764907812,99.53137543336359
1394,99.7,99.33647769951271,99.46854366505151,99.49030504834575
1395,99.8,99.28139824599161,99.38736201339316,99.420189749966
1396,99.6,99.36478472668084,99.45362829076747,99.46461538699666
1397,99.8,99.41440864691441,99.59425176188986,99.64561095104523
1398,99.8,99.50240613402315,99.627307727424,99.68710636641654
1399,99.8,99.31709218530887,99.37884952531272,99.33270695378027
1400,99.8,99.4139197487459,99.45722801278023,99.4897409593717
1401,99.7,98.9331046556727,98.98828384353058,99.03135153288359
1402,99.8,99.18593673234808,99.24279345653255,99.29389242494202
1403,99.8,99.23373549619393,99.25617190548641,99.42655061415934
