گروه های هزینه,1397,1398
خوراکیها، آشامیدنیها و دخانیات,134285292,172534826
خوراکیها و آشامیدنیها,131953936,169665228
1- آرد، رشته و غلات,10931539,14401349
آرد و رشته,10538997,13870140
غلات و فرآورده های آن,392542,531209
2- انواع نان و بیسکویت,8391964,10421940
انواع نان,5755791,6863179
بیسکویت ، کیک و شیرینی خشک,2636173,3558761
3- انواع گوشت,31095549,40892093
گوشت دام,18504189,24935001
گوشت پرندگان,9736222,12413261
فرآورده های گوشت دام و پرندگان,324903,493546
انواع ماهی,2117951,2414881
حیوانات دریایی و فرآوردههای آن,412284,635404
4- شیر و فرآوردههای آن و تخم پرندگان,16109164,20169341
انواع شیر,3718858,4740842
فرآوردههای شیر,8846772,11559484
تخم پرندگان,3543534,3869015
5- روغنها و چربیها,4069030,4914275
روغنها و چربیهای حیوانی,1204825,1418984
انواع کره,2563182,3061474
روغنهای حیوانی,301023,433817
6- میوههای تازه,24846139,31071901
میوههای درختی (بجز مرکبات),13996903,17710143
مرکبات,7012882,8275491
میوههای جالیزی,3836354,5086267
7- سبزیهای تازه,16572358,22999833
انواع سبزی های برگی (تازه و یخ زده),3306640,4184788
انواع سبزی های بوته ای (تازه و یخ زده),8724178,11392278
انواع سبزی های ریشه ای (تازه و یخ زده),4541540,7422767
8- خشکبار و آجیل,3819453,3925506
9- حبوب,2326329,3058124
10- انواع کنسرو و فرآوردههای سبزی,2279271,2832582
11- قند و شکر,993395,1460797
12- انواع شیرینی و مربا (به جز شیرینی خشک),3937407,4673094
13- چای ، قهوه و کاکایو,1600922,2073626
14- انواع ادویه ، سسها و سایر ترکیبات خوراکی,1697361,2638011
15- آشامیدنیها,3284055,4132756
دخانیات,2331356,2869598
