گروه های هزینه,1393,1394
خوراکیها، آشامیدنیها و دخانیات,81966263,84394493
خوراکیها و آشامیدنیها,80806786,83276315
1- آرد، رشته و غلات,7978658,8102090
آرد و رشته,7722113,7870834
غلات و فرآورده های آن,256545,231256
2- انواع نان و بیسکویت,6113332,6741677
انواع نان,4290503,5087529
بیسکویت ، کیک و شیرینی خشک,1822829,1654148
3- انواع گوشت,18829648,18937641
گوشت دام,10311271,10896467
گوشت پرندگان,6031513,5647091
فرآورده های گوشت دام و پرندگان,281384,180333
انواع ماهی,1798512,1765841
حیوانات دریایی و فرآوردههای آن,406968,447909
4- شیر و فرآوردههای آن و تخم پرندگان,9441381,9846738
انواع شیر,2523741,2601081
فرآوردههای شیر,5233079,5493288
تخم پرندگان,1684561,1752369
5- روغنها و چربیها,2715900,2716220
روغنها و چربیهای حیوانی,658410,588575
انواع کره,1909755,1918433
روغنهای حیوانی,147735,209212
6- میوههای تازه,14227351,15098542
میوههای درختی (بجز مرکبات),8190158,8503769
مرکبات,3666819,3945582
میوههای جالیزی,2370374,2649191
7- سبزیهای تازه,8964749,8926619
انواع سبزی های برگی (تازه و یخ زده),1918122,1925525
انواع سبزی های بوته ای (تازه و یخ زده),4464091,4655885
انواع سبزی های ریشه ای (تازه و یخ زده),2582536,2345209
8- خشکبار و آجیل,2026820,2213136
9- حبوب,1074716,1139168
10- انواع کنسرو و فرآوردههای سبزی,1519156,1355339
11- قند و شکر,810316,793596
12- انواع شیرینی و مربا (به جز شیرینی خشک),2527453,2809934
13- چای ، قهوه و کاکایو,995154,1061052
14- انواع ادویه ، سسها و سایر ترکیبات خوراکی,1223085,1241950
15- آشامیدنیها,2359067,2292613
دخانیات,1159477,1118178
